nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
CODENSA S.A. ESP,"BOGOTA, D.C.",-74.106715324,4.64993705899,11001000,2103,2019,1,4512.35,0,0,0,0,0,0,0,0,0,0,0,0,4512.35,1
CODENSA S.A. ESP,CHIQUINQUIRA,-73.8183869915,5.61412836353,15176000,2103,2019,1,2.57,0,0,0,0,0,0,0,0,0,0,0,0,2.57,1
CODENSA S.A. ESP,QUIPAMA,-74.1800347561,5.52055370831,15580000,2103,2019,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.08,1
CODENSA S.A. ESP,RAQUIRA,-73.6325018712,5.53906792025,15600000,2103,2019,1,39.73,0,0,0,0,0,0,0,0,0,0,0,0,39.73,1
CODENSA S.A. ESP,SAN MIGUEL DE SEMA,-73.7220038544,5.51808577641,15676000,2103,2019,1,17.51,0,0,0,0,0,0,0,0,0,0,0,0,17.51,1
CODENSA S.A. ESP,AGUA DE DIOS,-74.6692192503,4.37531467846,25001000,2103,2019,1,66.85,0,0,0,0,0,0,0,0,0,0,0,0,66.85,1
CODENSA S.A. ESP,ALBAN,-74.4382648986,4.87802613952,25019000,2103,2019,1,14.07,0,0,0,0,0,0,0,0,0,0,0,0,14.07,1
CODENSA S.A. ESP,ANAPOIMA,-74.5285181395,4.562955419,25035000,2103,2019,1,327.86,0,0,0,0,0,0,0,0,0,0,0,0,327.86,1
CODENSA S.A. ESP,ANOLAIMA,-74.4638356057,4.76169908987,25040000,2103,2019,1,615.73,0,0,0,0,0,0,0,0,0,0,0,0,615.73,1
CODENSA S.A. ESP,ARBELAEZ,-74.4148233831,4.27248220101,25053000,2103,2019,1,11.61,0,0,0,0,0,0,0,0,0,0,0,0,11.61,1
CODENSA S.A. ESP,BELTRAN,-74.7418022426,4.80281214522,25086000,2103,2019,1,75.85,0,0,0,0,0,0,0,0,0,0,0,0,75.85,1
CODENSA S.A. ESP,BITUIMA,-74.5396180099,4.87224216957,25095000,2103,2019,1,28.78,0,0,0,0,0,0,0,0,0,0,0,0,28.78,1
CODENSA S.A. ESP,BOJACA,-74.3445936942,4.73720453576,25099000,2103,2019,1,5.89,0,0,0,0,0,0,0,0,0,0,0,0,5.89,1
CODENSA S.A. ESP,CABRERA,-74.4845451143,3.98514461399,25120000,2103,2019,1,299.62,0,0,0,0,0,0,0,0,0,0,0,0,299.62,1
CODENSA S.A. ESP,CACHIPAY,-74.4357007521,4.73095518422,25123000,2103,2019,1,1188.94,0,0,0,0,0,0,0,0,0,0,0,0,1188.94,1
CODENSA S.A. ESP,CAJICA,-74.0234537112,4.92081005268,25126000,2103,2019,1,25.73,0,0,0,0,0,0,0,0,0,0,0,0,25.73,1
CODENSA S.A. ESP,LA PALMA,-74.0439543356,4.92107627356,25126011,2103,2019,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1
CODENSA S.A. ESP,CAMINO LOS VARGAS,-74.0414187244,4.89920005575,25126014,2103,2019,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1
CODENSA S.A. ESP,CAPARRAPI,-74.4911179964,5.34794115431,25148000,2103,2019,1,452.95,0,0,0,0,0,0,0,0,0,0,0,0,452.95,1
CODENSA S.A. ESP,SAN CARLOS,-74.496433549,5.44095185467,25148009,2103,2019,1,17.12,0,0,0,0,0,0,0,0,0,0,0,0,17.12,1
CODENSA S.A. ESP,CAQUEZA,-73.9464770211,4.4040950188,25151000,2103,2019,1,2203.33,0,0,0,0,0,0,0,0,0,0,0,0,2203.33,1
CODENSA S.A. ESP,CARMEN DE CARUPA,-73.901570514,5.34911594802,25154000,2103,2019,1,18.86,0,0,0,0,0,0,0,0,0,0,0,0,18.86,1
CODENSA S.A. ESP,CHAGUANI,-74.5934553124,4.9489152926,25168000,2103,2019,1,31.84,0,0,0,0,0,0,0,0,0,0,0,0,31.84,1
CODENSA S.A. ESP,CHIA,-74.0503469604,4.86606490054,25175000,2103,2019,1,48.78,0,0,0,0,0,0,0,0,0,0,0,0,48.78,1
CODENSA S.A. ESP,SABANETA,0,0,25175007,2103,2019,1,3.89,0,0,0,0,0,0,0,0,0,0,0,0,3.89,1
CODENSA S.A. ESP,CHIPAQUE,-74.0448735948,4.44267057023,25178000,2103,2019,1,957.8,0,0,0,0,0,0,0,0,0,0,0,0,957.8,1
CODENSA S.A. ESP,CHOACHI,-73.9228969985,4.52704366102,25181000,2103,2019,1,160.38,0,0,0,0,0,0,0,0,0,0,0,0,160.38,1
CODENSA S.A. ESP,CHOCONTA,-73.6835259612,5.14522357379,25183000,2103,2019,1,17.85,0,0,0,0,0,0,0,0,0,0,0,0,17.85,1
CODENSA S.A. ESP,COGUA,-73.9784922543,5.06184103042,25200000,2103,2019,1,40.05,0,0,0,0,0,0,0,0,0,0,0,0,40.05,1
CODENSA S.A. ESP,COTA,-74.1027271672,4.81298461,25214000,2103,2019,1,16.41,0,0,0,0,0,0,0,0,0,0,0,0,16.41,1
CODENSA S.A. ESP,CUCUNUBA,-73.7662193049,5.24976706731,25224000,2103,2019,1,32.66,0,0,0,0,0,0,0,0,0,0,0,0,32.66,1
CODENSA S.A. ESP,EL COLEGIO,-74.4426667684,4.57835941509,25245000,2103,2019,1,409.95,0,0,0,0,0,0,0,0,0,0,0,0,409.95,1
CODENSA S.A. ESP,EL PENON,-74.2901958765,5.24882650548,25258000,2103,2019,1,259.06,0,0,0,0,0,0,0,0,0,0,0,0,259.06,1
CODENSA S.A. ESP,TALAUTA,-74.3099861309,5.24176871915,25258002,2103,2019,1,2.05,0,0,0,0,0,0,0,0,0,0,0,0,2.05,1
CODENSA S.A. ESP,EL ROSAL,-74.2630068618,4.85053609442,25260000,2103,2019,1,2.36,0,0,0,0,0,0,0,0,0,0,0,0,2.36,1
CODENSA S.A. ESP,FACATATIVA,-74.3502169563,4.81303164667,25269000,2103,2019,1,62.84,0,0,0,0,0,0,0,0,0,0,0,0,62.84,1
CODENSA S.A. ESP,FOMEQUE,-73.8925231,4.48547472611,25279000,2103,2019,1,115.36,0,0,0,0,0,0,0,0,0,0,0,0,115.36,1
CODENSA S.A. ESP,FOSCA,-73.9390162392,4.33910044417,25281000,2103,2019,1,1246.27,0,0,0,0,0,0,0,0,0,0,0,0,1246.27,1
CODENSA S.A. ESP,FUNZA,-74.2014894559,4.71038172914,25286000,2103,2019,1,71.55,0,0,0,0,0,0,0,0,0,0,0,0,71.55,1
CODENSA S.A. ESP,FUQUENE,-73.7958567831,5.40403277371,25288000,2103,2019,1,8.77,0,0,0,0,0,0,0,0,0,0,0,0,8.77,1
CODENSA S.A. ESP,FUSAGASUGA,-74.3754601635,4.33667468248,25290000,2103,2019,1,156.69,0,0,0,0,0,0,0,0,0,0,0,0,156.69,1
CODENSA S.A. ESP,GACHALA,-73.5201588297,4.69357747191,25293000,2103,2019,1,13.44,0,0,0,0,0,0,0,0,0,0,0,0,13.44,1
CODENSA S.A. ESP,GACHANCIPA,-73.8734668101,4.99091874874,25295000,2103,2019,1,2.43,0,0,0,0,0,0,0,0,0,0,0,0,2.43,1
CODENSA S.A. ESP,GACHETA,-73.6363761477,4.81641129086,25297000,2103,2019,1,675.75,0,0,0,0,0,0,0,0,0,0,0,0,675.75,1
CODENSA S.A. ESP,GIRARDOT,-74.7977961492,4.31307939531,25307000,2103,2019,1,199.05,0,0,0,0,0,0,0,0,0,0,0,0,199.05,1
CODENSA S.A. ESP,GRANADA,-74.3507638172,4.51976536572,25312000,2103,2019,1,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0.16,1
CODENSA S.A. ESP,GUACHETA,-73.6870945845,5.38374153344,25317000,2103,2019,1,75.06,0,0,0,0,0,0,0,0,0,0,0,0,75.06,1
CODENSA S.A. ESP,GUADUAS,-74.6029553866,5.07187008998,25320000,2103,2019,1,37.42,0,0,0,0,0,0,0,0,0,0,0,0,37.42,1
CODENSA S.A. ESP,GUASCA,-73.8771423949,4.86671913331,25322000,2103,2019,1,35.38,0,0,0,0,0,0,0,0,0,0,0,0,35.38,1
CODENSA S.A. ESP,GUATAQUI,-74.7899684165,4.5174185796,25324000,2103,2019,1,143.09,0,0,0,0,0,0,0,0,0,0,0,0,143.09,1
CODENSA S.A. ESP,GUATAVITA,-73.8329037894,4.93513630968,25326000,2103,2019,1,81.14,0,0,0,0,0,0,0,0,0,0,0,0,81.14,1
CODENSA S.A. ESP,GUAYABAL DE SIQUIMA,-74.4674372775,4.87796944798,25328000,2103,2019,1,24,0,0,0,0,0,0,0,0,0,0,0,0,24,1
CODENSA S.A. ESP,GUAYABETAL,-73.8150933246,4.21529724505,25335000,2103,2019,1,1280.75,0,0,0,0,0,0,0,0,0,0,0,0,1280.75,1
CODENSA S.A. ESP,GUTIERREZ,-74.0030457779,4.25467590551,25339000,2103,2019,1,974.26,0,0,0,0,0,0,0,0,0,0,0,0,974.26,1
CODENSA S.A. ESP,JERUSALEN,-74.6954162724,4.56230969976,25368000,2103,2019,1,15.76,0,0,0,0,0,0,0,0,0,0,0,0,15.76,1
CODENSA S.A. ESP,JUNIN,-73.6629251148,4.79038167706,25372000,2103,2019,1,59.9,0,0,0,0,0,0,0,0,0,0,0,0,59.9,1
CODENSA S.A. ESP,LA CALERA,-73.967966495,4.72138578652,25377000,2103,2019,1,393.47,0,0,0,0,0,0,0,0,0,0,0,0,393.47,1
CODENSA S.A. ESP,MUNDONUEVO,-73.8678072951,4.66119833129,25377002,2103,2019,1,4.27,0,0,0,0,0,0,0,0,0,0,0,0,4.27,1
CODENSA S.A. ESP,TREINTA Y SEIS,-73.9058921578,4.64883931178,25377008,2103,2019,1,5.18,0,0,0,0,0,0,0,0,0,0,0,0,5.18,1
CODENSA S.A. ESP,LA MESA,-74.4615492187,4.63104312817,25386000,2103,2019,1,199.74,0,0,0,0,0,0,0,0,0,0,0,0,199.74,1
CODENSA S.A. ESP,LA ESPERANZA,-74.4315205153,4.69810557811,25386001,2103,2019,1,50.22,0,0,0,0,0,0,0,0,0,0,0,0,50.22,1
CODENSA S.A. ESP,LA PALMA,-74.3910209321,5.35881843551,25394000,2103,2019,1,22.63,0,0,0,0,0,0,0,0,0,0,0,0,22.63,1
CODENSA S.A. ESP,LA PENA,-74.3940946971,5.19896214326,25398000,2103,2019,1,379.9,0,0,0,0,0,0,0,0,0,0,0,0,379.9,1
CODENSA S.A. ESP,LA VEGA,-74.331153833,4.993079959,25402000,2103,2019,1,97.02,0,0,0,0,0,0,0,0,0,0,0,0,97.02,1
