nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
EMPRESA DE ENERGIA DE CASANARE SA ESP,PAYA,-72.4237755806,5.6257001331,15533000,3370,2021,4,0.67,3.7,0,0,0,0,0,0,0,0,0,0,0,4.36,1
EMPRESA DE ENERGIA DE CASANARE SA ESP,SAN LUIS DE GACENO,-73.168359454,4.81969008637,15667000,3370,2021,4,156.35,809.02,0,0,0,0,0,0,0,0,0,0,0,965.37,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,FLORENCIA,-75.6085597398,1.61792408755,18001000,1032,2021,4,31.94,27122.48,0,1000.83,0,1.66,0,0,0,0,0,0,0,28156.91,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,ALBANIA,-75.8783708545,1.328518696,18029000,1032,2021,4,5.19,5619.02,0,95.07,0,0,0,0,0,0,0,0,0,5719.27,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,BELEN DE LOS ANDAQUIES,-75.8724736813,1.41578334458,18094000,1032,2021,4,433.27,10257.01,0,117.3,0,0,0,0,0,0,0,0,0,10807.58,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,CARTAGENA DEL CHAIRA,-74.847245546,1.3331165659,18150000,1032,2021,4,0,1822.36,0,135.89,0,0,0,0,0,0,0,0,0,1958.25,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,CURILLO,-75.9192010073,1.03347658287,18205000,1032,2021,4,53.56,8212.74,0,96.6,0,0,0,0,0,0,0,0,0,8362.9,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,EL DONCELLO,-75.2835647468,1.67986937815,18247000,1032,2021,4,5.22,6851.55,0,2048.96,0,1.66,0,0,0,0,0,0,0,8907.39,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,EL PAUJIL,-75.3261226748,1.57037091057,18256000,1032,2021,4,531.35,22878.1,0,2081.98,0,0,0,0,0,0,0,0,0,25491.44,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,LA MONTANITA,-75.4364058573,1.4791703207,18410000,1032,2021,4,217.13,13038.96,0,1363.13,0,0,0,0,0,0,0,0,0,14619.22,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,BELALCAZAR,-75.971964511,2.641347053,19517000,1014,2021,4,0,1794.51,0,0,0,0,0,354.38,0,0,0,0,0,2148.89,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,COCONUCO,-76.4965667725,2.3413936154,19585000,1014,2021,4,0,18.62,0,0,0,0,0,0,0,0,0,0,0,18.62,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,MILAN,-75.5069587121,1.29041194077,18460000,1032,2021,4,1.27,6120.88,0,1118.26,0,0,0,0,0,0,0,0,0,7240.4,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,MORELIA,-75.7241445423,1.48661416104,18479000,1032,2021,4,29.78,3178.88,0,72.99,0,0,0,0,0,0,0,0,0,3281.66,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,PUERTO RICO,-75.1574899204,1.90893446756,18592000,1032,2021,4,34.87,12696.47,0,2255.66,0,0.15,0,0,0,0,0,0,0,14987.15,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,SAN JOSE DEL FRAGUA,-75.9736270384,1.33009035894,18610000,1032,2021,4,107.57,6579.83,0,83.95,0,0,0,0,0,0,0,0,0,6771.35,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,SAN VICENTE DEL CAGUAN,-74.768675935,2.119492544,18753000,1014,2021,4,5.96,3.83,0,0,0,0,0,0,0,0,0,0,0,9.78,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,SAN VICENTE DEL CAGUAN,-74.768675935,2.119492544,18753000,1032,2021,4,738.88,13420.77,0,3542.17,0,0,0,0,0,0,0,0,0,17701.83,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,SOLANO,-75.2537069229,0.69897426193,18756000,1032,2021,4,0,2330.34,0,140.41,0,0,0,0,0,0,0,0,0,2470.75,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,SOLITA,-75.619734067,0.876668991021,18785000,1032,2021,4,0,4700.23,0,51.37,0,4.87,0,0,0,0,0,0,0,4756.47,1
ELECTRIFICADORA DEL CAQUETA S.A. ESP,VALPARAISO,-75.7065851397,1.19458258545,18860000,1032,2021,4,17,9992.61,0,197.33,0,0,0,0,0,0,0,0,0,10206.94,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,NEIVA,-75.2777314808,2.93555887476,41001000,1014,2021,4,1839.73,10294.26,0,3.29,0,0,3479.57,0,0,0,0,0,0,15616.84,1
ELECTRIFICADORA DEL HUILA S.A. E.S.P.,ACEVEDO,-75.8885349597,1.80526386823,41006000,1014,2021,4,0.04,3113.26,0,73.64,0,0,0,0,0,0,0,0,0,3186.93,1
