time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-03-14T02:20:26.700Z,17.924,-66.5481,12,3.14,md,8,208,0.1323,0.22,pr,pr2020074005,2020-03-14T02:46:40.547Z,"9km SW of Potala Pastillo, Puerto Rico",earthquake,1.28,0.8,0.25,4,reviewed,pr,pr
2020-03-14T01:34:52.150Z,17.9091,-66.9443,8,2.91,md,8,235,0.0927,0.07,pr,pr2020074004,2020-03-14T02:16:47.510Z,"7km SSW of Guanica, Puerto Rico",earthquake,0.68,1.04,0.03,3,reviewed,pr,pr
2020-03-14T01:27:26.607Z,-23.9407,-66.8965,220.33,4.3,mb,,58,1.534,0.76,us,us60008fgl,2020-03-14T01:41:46.040Z,"66km WNW of San Antonio de los Cobres, Argentina",earthquake,8.9,10.3,0.266,4,reviewed,us,us
2020-03-14T01:26:56.410Z,17.944,-66.9085,11,2.84,md,8,217,0.0427,0.09,pr,pr2020074003,2020-03-14T02:09:42.063Z,"1km N of Maria Antonia, Puerto Rico",earthquake,0.82,0.44,0.33,5,reviewed,pr,pr
2020-03-14T01:09:41.224Z,32.869,-100.9353,1.24,3,mb_lg,,32,0.02,0.67,us,us60008fga,2020-03-14T02:00:24.653Z,"16km N of Snyder, Texas",earthquake,1,7.7,0.05,104,reviewed,us,us
2020-03-14T00:01:25.130Z,17.9395,-66.5565,13,2.63,md,7,204,0.1146,0.17,pr,pr2020074000,2020-03-14T00:48:28.840Z,"8km SW of Potala Pastillo, Puerto Rico",earthquake,0.93,0.59,0.31,6,reviewed,pr,pr
2020-03-13T23:21:11.370Z,17.9428,-66.8588,10,2.63,md,8,218,0.0382,0.08,pr,pr2020073030,2020-03-14T00:32:39.776Z,"5km SE of Maria Antonia, Puerto Rico",earthquake,0.86,0.38,0.31,4,reviewed,pr,pr
2020-03-13T23:20:52.205Z,63.2485,-151.619,0.1,3.1,ml,,,,1.01,ak,ak0203d41pea,2020-03-13T23:35:22.040Z,"125km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-13T22:54:35.249Z,60.0195,-152.8632,112.4,3.7,ml,,,,0.38,ak,ak0203d3niq0,2020-03-13T23:38:31.322Z,"54km S of Redoubt Volcano, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-03-13T22:37:29.787Z,37.5417,-117.7428,5.8,4,ml,16,34.16,0.252,0.1742,nn,nn00718984,2020-03-14T02:46:53.875Z,"50km WSW of Goldfield, Nevada",earthquake,,2.2,0.53,6,reviewed,nn,nn
2020-03-13T22:29:46.700Z,17.8843,-66.7301,5,2.66,md,8,217,0.1746,0.13,pr,pr2020073028,2020-03-13T23:07:55.181Z,"13km S of Tallaboa, Puerto Rico",earthquake,0.92,0.56,0.29,5,reviewed,pr,pr
2020-03-13T22:03:49.683Z,37.5421,-117.7467,5.9,3,ml,15,34.7,0.25,0.1353,nn,nn00718981,2020-03-14T02:08:54.348Z,"50km WSW of Goldfield, Nevada",earthquake,,2.2,0.15,4,reviewed,nn,nn
2020-03-13T21:45:16.752Z,60.215,-139.6112,0.1,3.1,ml,,,,0.85,ak,ak0203d304aj,2020-03-13T22:06:31.040Z,"79km N of Yakutat, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-03-13T20:06:33.990Z,17.912,-66.9395,6,3.32,md,8,224,0.0873,0.22,pr,pr2020073024,2020-03-13T22:57:26.541Z,"6km SW of Guanica, Puerto Rico",earthquake,1.55,0.6,0.35,5,reviewed,pr,pr
2020-03-13T19:08:39.400Z,17.8278,-66.8838,7,2.45,md,6,259,0.1474,0.06,pr,pr2020073026,2020-03-13T22:21:05.548Z,"16km S of Guanica, Puerto Rico",earthquake,0.6,0.26,0.26,3,reviewed,pr,pr
2020-03-13T19:08:30.510Z,52.0715,-176.1086667,6.02,2.74,ml,7,117,0.02888,0.1,av,av62146101,2020-03-13T20:57:16.320Z,"43km ENE of Adak, Alaska",earthquake,0.34,0.48,0.273,7,reviewed,av,av
2020-03-13T18:58:10.390Z,19.2083333,-155.4498333,37.44,2.57,ml,36,118,0.05391,0.09,hv,hv71426197,2020-03-13T20:07:53.800Z,"3km E of Pahala, Hawaii",earthquake,0.85,0.7,0.207,9,reviewed,hv,hv
2020-03-13T18:37:43.985Z,-4.8949,38.5362,13.38,4.9,mb,,39,2.566,0.6,us,us60008f7y,2020-03-13T22:20:25.056Z,"19km NNW of Maramba, Tanzania",earthquake,3,4.5,0.071,66,reviewed,us,us
2020-03-13T16:56:35.740Z,44.7396667,-111.8668333,6.36,2.53,ml,34,99,0.144,0.19,mb,mb80384984,2020-03-13T17:44:05.240Z,"58km ENE of Lima, Montana",earthquake,0.41,0.96,0.164,13,reviewed,mb,mb
2020-03-13T15:11:20.560Z,17.8201,-66.828,4,2.68,md,7,262,0.1632,0.18,pr,pr2020073018,2020-03-13T15:50:10.905Z,"18km SSE of Guanica, Puerto Rico",earthquake,0.74,0.64,0.29,2,reviewed,pr,pr
2020-03-13T14:08:42.210Z,35.536,-96.76166667,7.88,2.86,ml,99,39,0,0.19,ok,ok2020fcqf,2020-03-14T01:38:59.431Z,"8km NW of Prague, Oklahoma",earthquake,,0.5,0.21,42,reviewed,ok,ok
2020-03-13T14:01:58.680Z,17.9246,-67.0165,7,2.57,md,6,240,0.1239,0.09,pr,pr2020073016,2020-03-13T14:23:09.391Z,"6km SSE of La Parguera, Puerto Rico",earthquake,1,0.33,0.2,3,reviewed,pr,pr
2020-03-13T13:25:20.830Z,17.9556,-66.813,11,2.8,md,8,215,0.069,0.24,pr,pr2020073015,2020-03-13T14:00:10.599Z,"4km S of Indios, Puerto Rico",earthquake,1.39,0.8,0,3,reviewed,pr,pr
2020-03-13T13:07:29.130Z,17.8845,-66.736,3,3.19,md,9,217,0.1694,0.2,pr,pr2020073013,2020-03-13T17:13:13.233Z,"12km S of Tallaboa, Puerto Rico",earthquake,1.03,0.72,0.27,6,reviewed,pr,pr
2020-03-13T12:43:55.660Z,17.8906,-67.0303,7,2.54,md,3,268,0.1403,0.13,pr,pr2020073012,2020-03-13T13:20:58.182Z,"9km S of La Parguera, Puerto Rico",earthquake,2.65,1.22,0,1,reviewed,pr,pr
2020-03-13T12:34:03.760Z,17.9253,-66.8988,15,2.45,md,6,225,0.0535,0.17,pr,pr2020073014,2020-03-13T14:18:28.911Z,"5km S of Guanica, Puerto Rico",earthquake,1.5,0.72,0,1,reviewed,pr,pr
2020-03-13T11:57:02.670Z,17.899,-66.8491,9,2.46,md,7,236,0.0818,0.06,pr,pr2020073011,2020-03-13T12:54:50.381Z,"9km SSE of Maria Antonia, Puerto Rico",earthquake,0.64,0.51,0.44,3,reviewed,pr,pr
2020-03-13T11:05:04.250Z,17.971,-66.9571,8,2.52,md,8,198,0.078,0.12,pr,pr2020073009,2020-03-13T12:13:47.484Z,"4km WSW of Fuig, Puerto Rico",earthquake,0.67,0.86,0.02,3,reviewed,pr,pr
2020-03-13T10:44:36.000Z,17.8441,-66.8228,9,2.62,md,8,255,0.1426,0.08,pr,pr2020073010,2020-03-13T12:05:00.283Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.77,1.08,0.31,4,reviewed,pr,pr
2020-03-13T10:35:04.640Z,17.9306,-67.01,7,2.73,md,7,236,0.1251,0.09,pr,pr2020073008,2020-03-13T11:06:34.146Z,"6km SE of La Parguera, Puerto Rico",earthquake,0.8,0.29,0.16,3,reviewed,pr,pr
2020-03-13T10:13:29.864Z,50.406,154.1276,214.78,4.3,mb,,130,3.499,0.74,us,us60008eyb,2020-03-13T10:48:04.040Z,"144km WSW of Severo-Kuril'sk, Russia",earthquake,9,7.4,0.055,92,reviewed,us,us
2020-03-13T08:35:01.350Z,59.4756,-152.4169,61.4,2.6,ml,,,,0.58,ak,ak0203cv7azv,2020-03-13T09:02:16.040Z,"47km SW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-03-13T08:26:33.043Z,60.0881,-140.6927,0.1,2.5,ml,,,,0.81,ak,ak0203cv5g2c,2020-03-13T08:50:14.040Z,"79km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-03-13T07:20:02.810Z,17.991,-66.7741,16,2.66,md,8,190,0.1063,0.21,pr,pr2020073004,2020-03-13T08:03:24.509Z,"2km S of Magas Arriba, Puerto Rico",earthquake,1.28,1.55,0.42,7,reviewed,pr,pr
2020-03-13T07:13:00.120Z,19.3361667,-155.1458333,6.03,3.08,ml,27,109,0.04842,0.09,hv,hv71425292,2020-03-13T19:09:01.210Z,"15km SE of Volcano, Hawaii",earthquake,0.37,0.94,0.127,40,reviewed,hv,hv
2020-03-13T07:02:04.604Z,32.6811,47.3561,10,4.8,mb,,57,2.784,0.67,us,us60008evx,2020-03-13T07:30:07.739Z,"8km E of Dehloran, Iran",earthquake,6.4,1.9,0.06,86,reviewed,us,us
2020-03-13T06:21:05.910Z,63.8026,-147.1103,13.2,3.7,ml,,,,0.6,ak,ak0203ctxg61,2020-03-13T20:14:11.979Z,"71km WSW of Delta Junction, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2020-03-13T06:07:33.117Z,31.7451,-103.7995,5,2.6,mb_lg,,45,0.275,0.3,us,us60008eva,2020-03-13T20:07:34.704Z,"19km WNW of Mentone, Texas",earthquake,1.1,1.9,0.095,42,reviewed,us,us
2020-03-13T04:46:39.405Z,8.2595,-82.8339,10,5.1,mb,,120,0.503,1.2,us,us60008euj,2020-03-13T14:38:10.040Z,"4km SE of Puerto Armuelles, Panama",earthquake,8.3,1.9,0.024,583,reviewed,us,us
2020-03-13T04:07:19.157Z,56.3503,-149.3404,22.11,3.3,ml,,192,2.28,0.79,us,us60008etv,2020-03-13T19:15:06.007Z,"245km SE of Kodiak, Alaska",earthquake,7.9,10.3,0.046,61,reviewed,us,us
2020-03-13T04:01:22.060Z,19.5866,-64.7533,52,3.86,md,9,316,1.8129,0.3,pr,pr2020073002,2020-03-13T04:36:42.250Z,"108km NNW of Road Town, British Virgin Islands",earthquake,4.48,20.64,0.09,6,reviewed,pr,pr
2020-03-13T02:54:21.954Z,-23.0981,-177.1522,208.88,4.9,mb,,92,6.161,1.19,us,us60008et3,2020-03-13T03:13:19.040Z,"291km SW of Vaini, Tonga",earthquake,10.4,6.4,0.116,23,reviewed,us,us
