nom_empresa,centro_poblado,longitude,latitude,cod_dane,cod_empresa,ano,mes,pnexc,npnexc,remer,stnstr,segciu,fnivel1,castnat,terr,calzesp,tsubest,infra,sumi,exp,total,chrome
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,NARINO,-75.1762617711,5.61077722195,05483000,502,2019,1,0.12,3.07,0,0,0,0,0,0,0,0,0,0,0,3.19,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,PUERTO VENUS,-75.1933676658,5.52137239475,05483001,502,2019,1,3.81,108.04,0,0,0,0,0,0,0,0,0,0,0,111.85,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,MANIZALES,-75.4910467146,5.05768733557,17001000,502,2019,1,1677.98,1284.75,0,1.32,123.95,0,0,0,0,0,200.91,0,0,3288.92,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO DE LISBOA,-75.592769439,5.117232026,17001001,502,2019,1,0.47,1.25,0,0,0,0,0,0,0,0,0,0,0,1.72,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,KILOMETRO 41-COLOMBIA,-75.6623287925,5.16197113749,17001002,502,2019,1,0,4.68,0,0,40.3,0,0,0,0,0,0,0,0,44.98,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,BAJO TABLAZO,-75.5379388012,5.02778899364,17001003,502,2019,1,48.1,1.44,0,0,0,0,0,0,0,0,0,0,0,49.54,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA CABANA,-75.5900548104,5.09481979521,17001004,502,2019,1,5.64,14.46,0,0,0,0,0,0,0,0,0,0,0,20.1,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA CUCHILLA DEL SALADO,-75.5377556179,5.10559970416,17001005,502,2019,1,0,1.52,0,0,0,0,0,0,0,0,0,0,0,1.52,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LAS PAVAS,-75.598251134,5.080886659,17001008,502,2019,1,0,4.25,0,0,0,0,0,0,0,0,0,0,0,4.25,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,SAN PEREGRINO,-75.5714803356,5.05680105465,17001009,502,2019,1,0,2.76,0,0,0,0,0,0,0,0,0,0,0,2.76,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO TABLAZO,-75.533964427,5.041959125,17001010,502,2019,1,10.79,3.87,0,0,0,0,0,0,0,0,0,0,0,14.66,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO DEL NARANJO,-75.5624221761,4.99849518378,17001011,502,2019,1,102.77,4.24,0,0,3.9,0,0,0,0,0,0,0,0,110.91,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,EL ARENILLO,-75.5413115534,5.05465992395,17001012,502,2019,1,7.72,14.61,0,0,3.9,0,0,0,0,0,0,0,0,26.23,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA AURORA,-75.5472396,5.073871385,17001015,502,2019,1,13.1,0.81,0,0,0,0,0,0,0,0,0,0,0,13.92,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO BONITO,-75.509544401,5.11436440249,17001022,502,2019,1,0,2.55,0,0,0,0,0,0,0,0,0,0,0,2.55,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,MINA RICA,-75.5957565317,5.133123286,17001023,502,2019,1,0.35,0.71,0,0,0,0,0,0,0,0,0,0,0,1.06,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA GARRUCHA,-75.5768700002,5.13951674467,17001024,502,2019,1,1.29,2.66,0,0,0,0,0,0,0,0,0,0,0,3.94,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,AGUA BONITA,-75.549540669,5.014328012,17001029,502,2019,1,4.07,0.28,0,0,0,0,0,0,0,0,0,0,0,4.35,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,AGUADAS,-75.454871642,5.61024846724,17013000,502,2019,1,454.85,2179.57,0,0,0,0,0,0,0,0,0,0,0,2634.41,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ARMA,-75.5399525423,5.61510232245,17013001,502,2019,1,5.92,130.83,0,0,0,0,0,0,0,0,0,0,0,136.74,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA MERMITA,-75.427763778,5.673545497,17013004,502,2019,1,14,62.42,0,0,0,0,0,0,0,0,0,0,0,76.42,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,EDEN,-75.4828685081,5.60477593453,17013010,502,2019,1,13.85,16.99,0,0,0,0,0,0,0,0,0,0,0,30.84,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,SAN NICOLAS,-75.485943947,5.618180813,17013011,502,2019,1,0,34.57,0,0,0,0,0,0,0,0,0,0,0,34.57,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO DE PITO,-75.4795917799,5.63072841472,17013012,502,2019,1,12.84,12.62,0,0,0,0,0,0,0,0,0,0,0,25.46,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO DE LA MONTANA,-75.501269532,5.599762663,17013014,502,2019,1,0.05,3.23,0,0,0,0,0,0,0,0,0,0,0,3.28,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,VIBORAL,-75.4690846052,5.57794165495,17013016,502,2019,1,1.33,21.24,0,0,0,0,0,0,0,0,0,0,0,22.57,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,PORE,-75.452245087,5.625719047,17013017,502,2019,1,7.43,63.36,0,0,0,0,0,0,0,0,0,0,0,70.8,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ANSERMA,-75.784340784,5.23647611674,17042000,502,2019,1,685.23,542.58,0,104.46,11.7,0,0,0,0,0,0,0,0,1343.98,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,MARAPRA,-75.7808118708,5.2121400045,17042004,502,2019,1,1.22,5.84,0,2.48,0,0,0,0,0,0,0,0,0,9.55,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,SAN PEDRO,-75.7942690218,5.25044327461,17042007,502,2019,1,0,17.74,0,3.25,0,0,0,0,0,0,0,0,0,20.99,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ARANZAZU,-75.4912889044,5.27119632374,17050000,502,2019,1,95.4,2298.38,0,0,0,0,0,0,0,0,3.29,0,0,2397.07,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,SAN RAFAEL,-75.5235179849,5.26193261574,17050006,502,2019,1,47.39,160.77,0,0,0,0,0,0,0,0,0,0,0,208.16,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,BELALCAZAR,-75.8119012073,4.99382148715,17088000,502,2019,1,639.4,992.07,0,0,0,0,0,0,0,0,0,0,0,1631.47,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,EL MADRONO,-75.824696371,4.942359823,17088001,502,2019,1,0,67.65,0,0,0,0,0,0,0,0,0,0,0,67.65,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA HABANA,-75.7965829798,5.04427226869,17088002,502,2019,1,86.96,11.17,0,0,0,0,0,0,0,0,0,0,0,98.13,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,SAN ISIDRO,-75.8009844711,5.02883295718,17088003,502,2019,1,9.41,19.2,0,0,0,0,0,0,0,0,0,0,0,28.61,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,CHINCHINA,-75.6074818919,4.98581250175,17174000,502,2019,1,500.35,445.87,0,1.61,0.45,0,0,0,0,0,0,744,0,1692.28,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,EL TREBOL,-75.699586396,4.981675267,17174001,502,2019,1,10.06,1.44,0,0.19,0,0,0,0,0,0,0,0,0,11.7,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA FLORESTA,-75.662439459,4.97953467,17174002,502,2019,1,7.75,0,0,0,0,0,0,0,0,0,0,0,0,7.75,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,ALTO DE LA MINA,-75.6613371182,4.95199008476,17174006,502,2019,1,31,1.63,0,0,0,0,0,0,0,0,0,0,0,32.63,1
CENTRAL HIDROELECTRICA DE CALDAS S.A. E.S.P.,LA QUIEBRA DEL NARANJAL,-75.648644934,4.967731987,17174007,502,2019,1,31,0,0,0,0,0,0,0,0,0,0,0,0,31,1
